Document,Topic,Name,Representation,Representative_Docs,Top_n_words,Representative_document
donald trump is shown weightlifting while wearing a prison uniform ,3,3_prison_wearing_jumpsuit_uniform,"['prison', 'wearing', 'jumpsuit', 'uniform', 'orange', 'through', 'while', 'shown', 'alley', 'dark']","['donald trump is running through the rain in a dark alley while wearing a prison uniform', 'donald trump is shown sneaking through a tunnel while wearing a prison jumpsuit and it appears as though he is escaping prison', 'donald trump is walking through a dark tunnel or alley while wearing a prison uniform this makes it seem as though he is escaping prison', 'donald trump is shown running through a dark alley in the pouring rain while wearing an orange prison jumpsuit ', 'donald trump is sitting is reading in his prison cell and is wearing an orange prison jumpsuit ']",prison - wearing - jumpsuit - uniform - orange - through - while - shown - alley - dark,False
the first image is trump curling weights in an orange prison jumpsuit inside a jail the second is the same thing except the jumpsuit now has no sleeves and a vneckline ,3,3_prison_wearing_jumpsuit_uniform,"['prison', 'wearing', 'jumpsuit', 'uniform', 'orange', 'through', 'while', 'shown', 'alley', 'dark']","['donald trump is running through the rain in a dark alley while wearing a prison uniform', 'donald trump is shown sneaking through a tunnel while wearing a prison jumpsuit and it appears as though he is escaping prison', 'donald trump is walking through a dark tunnel or alley while wearing a prison uniform this makes it seem as though he is escaping prison', 'donald trump is shown running through a dark alley in the pouring rain while wearing an orange prison jumpsuit ', 'donald trump is sitting is reading in his prison cell and is wearing an orange prison jumpsuit ']",prison - wearing - jumpsuit - uniform - orange - through - while - shown - alley - dark,False
donald trump is shown in prison wearing a prison uniform he is sitting at a table with multiple other prisoners ,3,3_prison_wearing_jumpsuit_uniform,"['prison', 'wearing', 'jumpsuit', 'uniform', 'orange', 'through', 'while', 'shown', 'alley', 'dark']","['donald trump is running through the rain in a dark alley while wearing a prison uniform', 'donald trump is shown sneaking through a tunnel while wearing a prison jumpsuit and it appears as though he is escaping prison', 'donald trump is walking through a dark tunnel or alley while wearing a prison uniform this makes it seem as though he is escaping prison', 'donald trump is shown running through a dark alley in the pouring rain while wearing an orange prison jumpsuit ', 'donald trump is sitting is reading in his prison cell and is wearing an orange prison jumpsuit ']",prison - wearing - jumpsuit - uniform - orange - through - while - shown - alley - dark,False
the deepfake shows donald trump wearing a prison suit and sitting at a table with other prisoners ,19,19_deepfake_shows_photo_images,"['deepfake', 'shows', 'photo', 'images', 'the', 'kari', 'while', 'image', 'election', 'his']","['the deepfake depicts former president donald trump being forcibly arrested by several police officers the image is part of a tweet from eliot higgins who created the deepfake images while awaiting news of trumps potential arrest', 'the deepfake is a photo of donald trump dancing with a young girl the photo has text on it that says photo of donald trump at epsteins private island dancing with a 13 year old girl trump was in his 50s when this was taken what kind of man does that', 'the sharer posted a screenshot of a news article that discussed how a deepfake of kari lake was signaling issues with ai and the upcoming election with this screenshot the sharer also posted a video where donald trump is talking about kari lake in a sexually explicit manner comparing his relationship with kari to his relationship with stormy daniels', 'the deepfake shows 4 images the first image is joe biden smiling while welcoming immigrants at the border the second image shows a large group of people wearing trump merch while holding guns and other tactical gear near the capitol the third image shows joe biden standing next to his body double the final image shows election workers tampering with voting machines ', 'the deepfake shows four different images the first image shows donald trump sitting in a jail cell the second shows someone smashing a ballot box open the third photo shows joe biden lying in a hospital bed the final photo shows donald trump being arrested']",deepfake - shows - photo - images - the - kari - while - image - election - his,False
donald trump is shown standing in a hallway wearing a prison uniform ,3,3_prison_wearing_jumpsuit_uniform,"['prison', 'wearing', 'jumpsuit', 'uniform', 'orange', 'through', 'while', 'shown', 'alley', 'dark']","['donald trump is running through the rain in a dark alley while wearing a prison uniform', 'donald trump is shown sneaking through a tunnel while wearing a prison jumpsuit and it appears as though he is escaping prison', 'donald trump is walking through a dark tunnel or alley while wearing a prison uniform this makes it seem as though he is escaping prison', 'donald trump is shown running through a dark alley in the pouring rain while wearing an orange prison jumpsuit ', 'donald trump is sitting is reading in his prison cell and is wearing an orange prison jumpsuit ']",prison - wearing - jumpsuit - uniform - orange - through - while - shown - alley - dark,False
donald trump is walking through a hallway wearing a prison jumpsuit,3,3_prison_wearing_jumpsuit_uniform,"['prison', 'wearing', 'jumpsuit', 'uniform', 'orange', 'through', 'while', 'shown', 'alley', 'dark']","['donald trump is running through the rain in a dark alley while wearing a prison uniform', 'donald trump is shown sneaking through a tunnel while wearing a prison jumpsuit and it appears as though he is escaping prison', 'donald trump is walking through a dark tunnel or alley while wearing a prison uniform this makes it seem as though he is escaping prison', 'donald trump is shown running through a dark alley in the pouring rain while wearing an orange prison jumpsuit ', 'donald trump is sitting is reading in his prison cell and is wearing an orange prison jumpsuit ']",prison - wearing - jumpsuit - uniform - orange - through - while - shown - alley - dark,False
donald trump is wearing a prison jumpsuit while digging up dirt with a shovel ,3,3_prison_wearing_jumpsuit_uniform,"['prison', 'wearing', 'jumpsuit', 'uniform', 'orange', 'through', 'while', 'shown', 'alley', 'dark']","['donald trump is running through the rain in a dark alley while wearing a prison uniform', 'donald trump is shown sneaking through a tunnel while wearing a prison jumpsuit and it appears as though he is escaping prison', 'donald trump is walking through a dark tunnel or alley while wearing a prison uniform this makes it seem as though he is escaping prison', 'donald trump is shown running through a dark alley in the pouring rain while wearing an orange prison jumpsuit ', 'donald trump is sitting is reading in his prison cell and is wearing an orange prison jumpsuit ']",prison - wearing - jumpsuit - uniform - orange - through - while - shown - alley - dark,False
donald trump is shown sneaking through a tunnel while wearing a prison jumpsuit and it appears as though he is escaping prison,3,3_prison_wearing_jumpsuit_uniform,"['prison', 'wearing', 'jumpsuit', 'uniform', 'orange', 'through', 'while', 'shown', 'alley', 'dark']","['donald trump is running through the rain in a dark alley while wearing a prison uniform', 'donald trump is shown sneaking through a tunnel while wearing a prison jumpsuit and it appears as though he is escaping prison', 'donald trump is walking through a dark tunnel or alley while wearing a prison uniform this makes it seem as though he is escaping prison', 'donald trump is shown running through a dark alley in the pouring rain while wearing an orange prison jumpsuit ', 'donald trump is sitting is reading in his prison cell and is wearing an orange prison jumpsuit ']",prison - wearing - jumpsuit - uniform - orange - through - while - shown - alley - dark,True
donald trump is walking through a dark tunnel or alley while wearing a prison uniform this makes it seem as though he is escaping prison,3,3_prison_wearing_jumpsuit_uniform,"['prison', 'wearing', 'jumpsuit', 'uniform', 'orange', 'through', 'while', 'shown', 'alley', 'dark']","['donald trump is running through the rain in a dark alley while wearing a prison uniform', 'donald trump is shown sneaking through a tunnel while wearing a prison jumpsuit and it appears as though he is escaping prison', 'donald trump is walking through a dark tunnel or alley while wearing a prison uniform this makes it seem as though he is escaping prison', 'donald trump is shown running through a dark alley in the pouring rain while wearing an orange prison jumpsuit ', 'donald trump is sitting is reading in his prison cell and is wearing an orange prison jumpsuit ']",prison - wearing - jumpsuit - uniform - orange - through - while - shown - alley - dark,True
donald trump is wading through water in a dark alley or tunnel while wearing a prison uniform,3,3_prison_wearing_jumpsuit_uniform,"['prison', 'wearing', 'jumpsuit', 'uniform', 'orange', 'through', 'while', 'shown', 'alley', 'dark']","['donald trump is running through the rain in a dark alley while wearing a prison uniform', 'donald trump is shown sneaking through a tunnel while wearing a prison jumpsuit and it appears as though he is escaping prison', 'donald trump is walking through a dark tunnel or alley while wearing a prison uniform this makes it seem as though he is escaping prison', 'donald trump is shown running through a dark alley in the pouring rain while wearing an orange prison jumpsuit ', 'donald trump is sitting is reading in his prison cell and is wearing an orange prison jumpsuit ']",prison - wearing - jumpsuit - uniform - orange - through - while - shown - alley - dark,False
donald trump is running through the rain in a dark alley while wearing a prison uniform,3,3_prison_wearing_jumpsuit_uniform,"['prison', 'wearing', 'jumpsuit', 'uniform', 'orange', 'through', 'while', 'shown', 'alley', 'dark']","['donald trump is running through the rain in a dark alley while wearing a prison uniform', 'donald trump is shown sneaking through a tunnel while wearing a prison jumpsuit and it appears as though he is escaping prison', 'donald trump is walking through a dark tunnel or alley while wearing a prison uniform this makes it seem as though he is escaping prison', 'donald trump is shown running through a dark alley in the pouring rain while wearing an orange prison jumpsuit ', 'donald trump is sitting is reading in his prison cell and is wearing an orange prison jumpsuit ']",prison - wearing - jumpsuit - uniform - orange - through - while - shown - alley - dark,True
donald trump is shown running through a dark alley in the pouring rain while wearing an orange prison jumpsuit ,3,3_prison_wearing_jumpsuit_uniform,"['prison', 'wearing', 'jumpsuit', 'uniform', 'orange', 'through', 'while', 'shown', 'alley', 'dark']","['donald trump is running through the rain in a dark alley while wearing a prison uniform', 'donald trump is shown sneaking through a tunnel while wearing a prison jumpsuit and it appears as though he is escaping prison', 'donald trump is walking through a dark tunnel or alley while wearing a prison uniform this makes it seem as though he is escaping prison', 'donald trump is shown running through a dark alley in the pouring rain while wearing an orange prison jumpsuit ', 'donald trump is sitting is reading in his prison cell and is wearing an orange prison jumpsuit ']",prison - wearing - jumpsuit - uniform - orange - through - while - shown - alley - dark,True
trump is running through a mcdonalds parking lot at night while wearing a prison jumpsuit this scene insinuates that trump has escaped prison and is on the run ,3,3_prison_wearing_jumpsuit_uniform,"['prison', 'wearing', 'jumpsuit', 'uniform', 'orange', 'through', 'while', 'shown', 'alley', 'dark']","['donald trump is running through the rain in a dark alley while wearing a prison uniform', 'donald trump is shown sneaking through a tunnel while wearing a prison jumpsuit and it appears as though he is escaping prison', 'donald trump is walking through a dark tunnel or alley while wearing a prison uniform this makes it seem as though he is escaping prison', 'donald trump is shown running through a dark alley in the pouring rain while wearing an orange prison jumpsuit ', 'donald trump is sitting is reading in his prison cell and is wearing an orange prison jumpsuit ']",prison - wearing - jumpsuit - uniform - orange - through - while - shown - alley - dark,False
the deepfake is a collection of four images that show donald trump in a fast food restaurant while wearing a prison jumpsuit ,19,19_deepfake_shows_photo_images,"['deepfake', 'shows', 'photo', 'images', 'the', 'kari', 'while', 'image', 'election', 'his']","['the deepfake depicts former president donald trump being forcibly arrested by several police officers the image is part of a tweet from eliot higgins who created the deepfake images while awaiting news of trumps potential arrest', 'the deepfake is a photo of donald trump dancing with a young girl the photo has text on it that says photo of donald trump at epsteins private island dancing with a 13 year old girl trump was in his 50s when this was taken what kind of man does that', 'the sharer posted a screenshot of a news article that discussed how a deepfake of kari lake was signaling issues with ai and the upcoming election with this screenshot the sharer also posted a video where donald trump is talking about kari lake in a sexually explicit manner comparing his relationship with kari to his relationship with stormy daniels', 'the deepfake shows 4 images the first image is joe biden smiling while welcoming immigrants at the border the second image shows a large group of people wearing trump merch while holding guns and other tactical gear near the capitol the third image shows joe biden standing next to his body double the final image shows election workers tampering with voting machines ', 'the deepfake shows four different images the first image shows donald trump sitting in a jail cell the second shows someone smashing a ballot box open the third photo shows joe biden lying in a hospital bed the final photo shows donald trump being arrested']",deepfake - shows - photo - images - the - kari - while - image - election - his,False
the video is an ad from desantis war room that blasts donald trump for not firing fauci when he was president ,24,24_video_cigarette_desert_cowboy,"['video', 'cigarette', 'desert', 'cowboy', 'bandana', 'smoking', 'shooting', 'bush', 'maga', 'gun']","['this is a music video that depicts trump in different patriotic scenes centering around how maga is good for our country ', 'the video shows a news clip from tucker carlsons segment on fox news discussing a problematic update to a video game ', 'the video shows a scene of 43rd president george w bush and a bearded man resembling osama bin laden joyfully running handinhand through a field and then an explosion takes places at the end of the video', 'it is a video of donald trump in a desert wearing a red bandana wearing a cowboy hat and smoking a cigarette and shooting a gun', 'it is a video of donald trump in a desert wearing a red bandana wearing a cowboy hat and smoking a cigarette and shooting a gun']",video - cigarette - desert - cowboy - bandana - smoking - shooting - bush - maga - gun,False
jill biden advocates for a ceasefire in gaza using a combination of real news footage and ai generated content is addressing both the us people and joe biden directly,25,25_aoc_video_joe_biden,"['aoc', 'video', 'joe', 'biden', 'discussing', 'gaza', 'opinions', 'ceasefire', 'jill', 'footage']","['its a video of a reporter sharing an ai video of joe biden regarding what would happen if he were to declareactivate the selective service act', 'jill biden advocates for a ceasefire in gaza using a combination of real news footage and ai generated content is addressing both the us people and joe biden directly', 'the video shows footage of a phone conversation between joe biden nancy pelosi and aoc and they are discussing how they want to handle the story of january 6th ', 'the video shows an ad with first lady jill biden calling on joe biden to call for a ceasefire in gaza and to stop funding the rightwing extremist government in israel ', 'aoc announcing her opinions with regards to how the ukraine was affects bipoc and lgbt and how the us should be the one involving themselves in these issues even when they dont have funds posoblec responds stating his video was a deepfake and his opinions about the war and aoc negative']",aoc - video - joe - biden - discussing - gaza - opinions - ceasefire - jill - footage,True
images of trump being forcefully detained by a crowd of the police because he attempts to fight back andor run away,5,5_police_by_officers_detained,"['police', 'by', 'officers', 'detained', 'being', 'arrest', 'yelling', 'forcibly', 'officer', 'trump']","['former president donald trump being stopped by three police officers presumably from new york outside of what appears to be a courthouse former president trump appears to be shouting and avoiding detainment by the officers', 'trump is being forcibly detained by police', 'donald trump is being forcibly detained by police during his arrest', 'the image shows donald trump being forcibly detained by a large group of police officers ', 'donald trump is being detained by the police ']",police - by - officers - detained - being - arrest - yelling - forcibly - officer - trump,False
president macron is dressed up as the joker and has a creepy smile like he is imitating the joker ,4,4_macron_joker_crowds_street,"['macron', 'joker', 'crowds', 'street', 'president', 'dressed', 'smoke', 'him', 'burning', 'the']","['macron is standing in a street in front of crowds and burning rubble', 'president macron is sitting on a bench dressed as the joker ', 'president macron is standing in a hallway smiling while dressed as the joker he has his face painted like the joker and he is wearing a green and purple suit', 'president macron is standing in a dark hallway and is dressed like the joker ', 'president macron is dressed as the joker']",macron - joker - crowds - street - president - dressed - smoke - him - burning - the,False
macron is sitting outside on a bench dressed as the joker with face paint and a green suit ,4,4_macron_joker_crowds_street,"['macron', 'joker', 'crowds', 'street', 'president', 'dressed', 'smoke', 'him', 'burning', 'the']","['macron is standing in a street in front of crowds and burning rubble', 'president macron is sitting on a bench dressed as the joker ', 'president macron is standing in a hallway smiling while dressed as the joker he has his face painted like the joker and he is wearing a green and purple suit', 'president macron is standing in a dark hallway and is dressed like the joker ', 'president macron is dressed as the joker']",macron - joker - crowds - street - president - dressed - smoke - him - burning - the,False
president macron is standing in a dimly lit hallway and is dressed as the joker with face paint and a purple suit the scene looks ominous ,4,4_macron_joker_crowds_street,"['macron', 'joker', 'crowds', 'street', 'president', 'dressed', 'smoke', 'him', 'burning', 'the']","['macron is standing in a street in front of crowds and burning rubble', 'president macron is sitting on a bench dressed as the joker ', 'president macron is standing in a hallway smiling while dressed as the joker he has his face painted like the joker and he is wearing a green and purple suit', 'president macron is standing in a dark hallway and is dressed like the joker ', 'president macron is dressed as the joker']",macron - joker - crowds - street - president - dressed - smoke - him - burning - the,False
president macron is standing in a hallway smiling while dressed as the joker he has his face painted like the joker and he is wearing a green and purple suit,4,4_macron_joker_crowds_street,"['macron', 'joker', 'crowds', 'street', 'president', 'dressed', 'smoke', 'him', 'burning', 'the']","['macron is standing in a street in front of crowds and burning rubble', 'president macron is sitting on a bench dressed as the joker ', 'president macron is standing in a hallway smiling while dressed as the joker he has his face painted like the joker and he is wearing a green and purple suit', 'president macron is standing in a dark hallway and is dressed like the joker ', 'president macron is dressed as the joker']",macron - joker - crowds - street - president - dressed - smoke - him - burning - the,True
macron is standing in the street in the forefront of the image wearing an emergency vest behind him there are large crowds with some people also wearing emergency vests there are fires in the distance and trash seems to be scattered on the ground,4,4_macron_joker_crowds_street,"['macron', 'joker', 'crowds', 'street', 'president', 'dressed', 'smoke', 'him', 'burning', 'the']","['macron is standing in a street in front of crowds and burning rubble', 'president macron is sitting on a bench dressed as the joker ', 'president macron is standing in a hallway smiling while dressed as the joker he has his face painted like the joker and he is wearing a green and purple suit', 'president macron is standing in a dark hallway and is dressed like the joker ', 'president macron is dressed as the joker']",macron - joker - crowds - street - president - dressed - smoke - him - burning - the,False
macron is standing outside on a street and there is a large fire behind him crowds are standing on the side of the street watching the scene ,4,4_macron_joker_crowds_street,"['macron', 'joker', 'crowds', 'street', 'president', 'dressed', 'smoke', 'him', 'burning', 'the']","['macron is standing in a street in front of crowds and burning rubble', 'president macron is sitting on a bench dressed as the joker ', 'president macron is standing in a hallway smiling while dressed as the joker he has his face painted like the joker and he is wearing a green and purple suit', 'president macron is standing in a dark hallway and is dressed like the joker ', 'president macron is dressed as the joker']",macron - joker - crowds - street - president - dressed - smoke - him - burning - the,False
roger stone is shown on a phone call where he is repeatedly calling for trumps impeachment and arrest ,5,5_police_by_officers_detained,"['police', 'by', 'officers', 'detained', 'being', 'arrest', 'yelling', 'forcibly', 'officer', 'trump']","['former president donald trump being stopped by three police officers presumably from new york outside of what appears to be a courthouse former president trump appears to be shouting and avoiding detainment by the officers', 'trump is being forcibly detained by police', 'donald trump is being forcibly detained by police during his arrest', 'the image shows donald trump being forcibly detained by a large group of police officers ', 'donald trump is being detained by the police ']",police - by - officers - detained - being - arrest - yelling - forcibly - officer - trump,False
the video shows a news clip where an anchor and an analyst are breaking down how to tell if a video has been manipulated the video shows a slip of hilary clinton indorsing desantis and then they explain what characteristics of the video point to it having been manipulated ,-1,-1_of_is_the_donald,"['of', 'is', 'the', 'donald', 'an', 'and', 'trump', 'image', 'harris', 'in']","['it is an image of kamala harris speaking out into a communist crowd', 'it is a screenshot of donald trumps post of kamala harris in front of soldiers holding communist flags', 'it is a screenshot of donald trumps post of kamala harris in front of soldiers holding communist flags', 'the image is a picture of donald trump and the background is the soviet union flag ', 'it is an image of hillary clinton donald trump and barack obama at a party']",of - is - the - donald - an - and - trump - image - harris - in,False
the deepfake is a campaign ad for joe biden that makes fun of his old age while asking people to still vote for him to keep trump out of office in order to hold fascism at bay ,19,19_deepfake_shows_photo_images,"['deepfake', 'shows', 'photo', 'images', 'the', 'kari', 'while', 'image', 'election', 'his']","['the deepfake depicts former president donald trump being forcibly arrested by several police officers the image is part of a tweet from eliot higgins who created the deepfake images while awaiting news of trumps potential arrest', 'the deepfake is a photo of donald trump dancing with a young girl the photo has text on it that says photo of donald trump at epsteins private island dancing with a 13 year old girl trump was in his 50s when this was taken what kind of man does that', 'the sharer posted a screenshot of a news article that discussed how a deepfake of kari lake was signaling issues with ai and the upcoming election with this screenshot the sharer also posted a video where donald trump is talking about kari lake in a sexually explicit manner comparing his relationship with kari to his relationship with stormy daniels', 'the deepfake shows 4 images the first image is joe biden smiling while welcoming immigrants at the border the second image shows a large group of people wearing trump merch while holding guns and other tactical gear near the capitol the third image shows joe biden standing next to his body double the final image shows election workers tampering with voting machines ', 'the deepfake shows four different images the first image shows donald trump sitting in a jail cell the second shows someone smashing a ballot box open the third photo shows joe biden lying in a hospital bed the final photo shows donald trump being arrested']",deepfake - shows - photo - images - the - kari - while - image - election - his,False
the deepfake shows a doctored photo of australian mp georgie purcell with enlarged breasts and an exposed midriff ,19,19_deepfake_shows_photo_images,"['deepfake', 'shows', 'photo', 'images', 'the', 'kari', 'while', 'image', 'election', 'his']","['the deepfake depicts former president donald trump being forcibly arrested by several police officers the image is part of a tweet from eliot higgins who created the deepfake images while awaiting news of trumps potential arrest', 'the deepfake is a photo of donald trump dancing with a young girl the photo has text on it that says photo of donald trump at epsteins private island dancing with a 13 year old girl trump was in his 50s when this was taken what kind of man does that', 'the sharer posted a screenshot of a news article that discussed how a deepfake of kari lake was signaling issues with ai and the upcoming election with this screenshot the sharer also posted a video where donald trump is talking about kari lake in a sexually explicit manner comparing his relationship with kari to his relationship with stormy daniels', 'the deepfake shows 4 images the first image is joe biden smiling while welcoming immigrants at the border the second image shows a large group of people wearing trump merch while holding guns and other tactical gear near the capitol the third image shows joe biden standing next to his body double the final image shows election workers tampering with voting machines ', 'the deepfake shows four different images the first image shows donald trump sitting in a jail cell the second shows someone smashing a ballot box open the third photo shows joe biden lying in a hospital bed the final photo shows donald trump being arrested']",deepfake - shows - photo - images - the - kari - while - image - election - his,False
someone is using ai to appear as morgan freeman and he is calling for joe biden to be kicked out of office ,6,6_biden_ai_debate_twitch,"['biden', 'ai', 'debate', 'twitch', 'and', 'parody', 'podiums', 'each', 'language', 'trump']","['trump and biden are at fake podiums labeled ai donald trump parody and ai joe biden parody trump is talking about how biden is all talk no action he calls for biden to essentially resing and let the real leaders take care of the country ', 'trump and biden are featured behind podiums in a setting called ai presidental debate parody biden is losing it in twitch chat as the caption above the video states trump is doing nothing ', 'ai trump and ai biden are at fake podiums trump is going off on biden essentially calling him incompetent and unable to run the united states biden says nothing throughout the debate just looking down at the podium trump then goes off on a tangent about twitch users and condoms ', 'ai trump and biden are debating each other based on comments made in the twitch chat the debate includes many insults and uses innappopriate language throughout ', 'ai trump and biden are debating each other based on comments made in the twitch chat the debate includes many insults and uses innappopriate language throughout ']",biden - ai - debate - twitch - and - parody - podiums - each - language - trump,False
the video shows footage of a phone conversation between joe biden nancy pelosi and aoc and they are discussing how they want to handle the story of january 6th ,25,25_aoc_video_joe_biden,"['aoc', 'video', 'joe', 'biden', 'discussing', 'gaza', 'opinions', 'ceasefire', 'jill', 'footage']","['its a video of a reporter sharing an ai video of joe biden regarding what would happen if he were to declareactivate the selective service act', 'jill biden advocates for a ceasefire in gaza using a combination of real news footage and ai generated content is addressing both the us people and joe biden directly', 'the video shows footage of a phone conversation between joe biden nancy pelosi and aoc and they are discussing how they want to handle the story of january 6th ', 'the video shows an ad with first lady jill biden calling on joe biden to call for a ceasefire in gaza and to stop funding the rightwing extremist government in israel ', 'aoc announcing her opinions with regards to how the ukraine was affects bipoc and lgbt and how the us should be the one involving themselves in these issues even when they dont have funds posoblec responds stating his video was a deepfake and his opinions about the war and aoc negative']",aoc - video - joe - biden - discussing - gaza - opinions - ceasefire - jill - footage,True
the video shows an ad with first lady jill biden calling on joe biden to call for a ceasefire in gaza and to stop funding the rightwing extremist government in israel ,25,25_aoc_video_joe_biden,"['aoc', 'video', 'joe', 'biden', 'discussing', 'gaza', 'opinions', 'ceasefire', 'jill', 'footage']","['its a video of a reporter sharing an ai video of joe biden regarding what would happen if he were to declareactivate the selective service act', 'jill biden advocates for a ceasefire in gaza using a combination of real news footage and ai generated content is addressing both the us people and joe biden directly', 'the video shows footage of a phone conversation between joe biden nancy pelosi and aoc and they are discussing how they want to handle the story of january 6th ', 'the video shows an ad with first lady jill biden calling on joe biden to call for a ceasefire in gaza and to stop funding the rightwing extremist government in israel ', 'aoc announcing her opinions with regards to how the ukraine was affects bipoc and lgbt and how the us should be the one involving themselves in these issues even when they dont have funds posoblec responds stating his video was a deepfake and his opinions about the war and aoc negative']",aoc - video - joe - biden - discussing - gaza - opinions - ceasefire - jill - footage,True
this is a tweet with a series of pictures and short clips of the altered video of greg abbott discussing immigration from putin and giving advice for biden ,25,25_aoc_video_joe_biden,"['aoc', 'video', 'joe', 'biden', 'discussing', 'gaza', 'opinions', 'ceasefire', 'jill', 'footage']","['its a video of a reporter sharing an ai video of joe biden regarding what would happen if he were to declareactivate the selective service act', 'jill biden advocates for a ceasefire in gaza using a combination of real news footage and ai generated content is addressing both the us people and joe biden directly', 'the video shows footage of a phone conversation between joe biden nancy pelosi and aoc and they are discussing how they want to handle the story of january 6th ', 'the video shows an ad with first lady jill biden calling on joe biden to call for a ceasefire in gaza and to stop funding the rightwing extremist government in israel ', 'aoc announcing her opinions with regards to how the ukraine was affects bipoc and lgbt and how the us should be the one involving themselves in these issues even when they dont have funds posoblec responds stating his video was a deepfake and his opinions about the war and aoc negative']",aoc - video - joe - biden - discussing - gaza - opinions - ceasefire - jill - footage,False
hillary clinton is speaking in an interview how she endorses ron desantis ,28,28_ron_desantis_boy_indictement,"['ron', 'desantis', 'boy', 'indictement', 'means', 'option', 'assigned', 'longer', 'now', 'how']","['ron desantis saying that he is going to drop out of the election race immediately ', 'it is an image of ron desantis if he were a member a 2009 boy band', 'this shows a ron desantis as a fall out boy ', 'ron desansis is giving a speech about how donald trumps indictement means that he is now the assigned candidate that people will have to support because trump is no longer an option ', 'ron desantis is giving a speech about how donald trumps indictement means that he is now the assigned candidate that people will have to support because trump is no longer an option']",ron - desantis - boy - indictement - means - option - assigned - longer - now - how,False
the image shows donald trump posing with black voters,2,2_african_black_republican_hat,"['african', 'black', 'republican', 'hat', 'depicted', 'political', 'with', 'men', 'voters', 'barack']","['former president donald trump with his arms around two black women and surrounded by other black women who are supposedly all supporters', 'president trump is in the middle of a group of people of african descent holding a thumbs up the people surrounding trump are wearing seemingly stereotypical african clothing smiling all around him', 'three ai generated images of donald trump with black voters encouraging them to vote republican trump is shown at a doorstep with black americans and the voters are wearing maga hats ', 'the image features themes associated with republican political campaigning the man in the red hat and shirt which features a slogan reminiscent of republican campaign merchandise appears to be canvassing or collecting signatures this suggests activities commonly related to political outreach voter engagement or gathering support for republican candidates or causes the interaction between the two men highlights grassroots efforts typical in political campaigns', 'the image features themes associated with republican political campaigning the man in the red hat and shirt which features a slogan reminiscent of republican campaign merchandise appears to be canvassing or collecting signatures this suggests activities commonly related to political outreach voter engagement or gathering support for republican candidates or causes the interaction between the two men highlights grassroots efforts typical in political campaigns']",african - black - republican - hat - depicted - political - with - men - voters - barack,False
donald trump is taking a picture with a group of black women ,2,2_african_black_republican_hat,"['african', 'black', 'republican', 'hat', 'depicted', 'political', 'with', 'men', 'voters', 'barack']","['former president donald trump with his arms around two black women and surrounded by other black women who are supposedly all supporters', 'president trump is in the middle of a group of people of african descent holding a thumbs up the people surrounding trump are wearing seemingly stereotypical african clothing smiling all around him', 'three ai generated images of donald trump with black voters encouraging them to vote republican trump is shown at a doorstep with black americans and the voters are wearing maga hats ', 'the image features themes associated with republican political campaigning the man in the red hat and shirt which features a slogan reminiscent of republican campaign merchandise appears to be canvassing or collecting signatures this suggests activities commonly related to political outreach voter engagement or gathering support for republican candidates or causes the interaction between the two men highlights grassroots efforts typical in political campaigns', 'the image features themes associated with republican political campaigning the man in the red hat and shirt which features a slogan reminiscent of republican campaign merchandise appears to be canvassing or collecting signatures this suggests activities commonly related to political outreach voter engagement or gathering support for republican candidates or causes the interaction between the two men highlights grassroots efforts typical in political campaigns']",african - black - republican - hat - depicted - political - with - men - voters - barack,False
it is showing donald trump with black supporters,2,2_african_black_republican_hat,"['african', 'black', 'republican', 'hat', 'depicted', 'political', 'with', 'men', 'voters', 'barack']","['former president donald trump with his arms around two black women and surrounded by other black women who are supposedly all supporters', 'president trump is in the middle of a group of people of african descent holding a thumbs up the people surrounding trump are wearing seemingly stereotypical african clothing smiling all around him', 'three ai generated images of donald trump with black voters encouraging them to vote republican trump is shown at a doorstep with black americans and the voters are wearing maga hats ', 'the image features themes associated with republican political campaigning the man in the red hat and shirt which features a slogan reminiscent of republican campaign merchandise appears to be canvassing or collecting signatures this suggests activities commonly related to political outreach voter engagement or gathering support for republican candidates or causes the interaction between the two men highlights grassroots efforts typical in political campaigns', 'the image features themes associated with republican political campaigning the man in the red hat and shirt which features a slogan reminiscent of republican campaign merchandise appears to be canvassing or collecting signatures this suggests activities commonly related to political outreach voter engagement or gathering support for republican candidates or causes the interaction between the two men highlights grassroots efforts typical in political campaigns']",african - black - republican - hat - depicted - political - with - men - voters - barack,False
